t_s,i_A,i_ref_A,active
0.020272,0.000000,15.000000,0.000000
0.020274,0.000000,15.000000,0.000000
0.020276,0.000000,15.000000,0.000000
0.020278,0.000000,15.000000,0.000000
0.020280,0.000000,15.000000,0.000000
0.020282,0.000000,15.000000,0.000000
0.020284,0.000000,15.000000,0.000000
0.020286,0.000000,15.000000,0.000000
0.020288,0.000000,15.000000,0.000000
0.020290,0.000000,15.000000,0.000000
0.020292,0.000000,15.000000,0.000000
0.020294,0.000000,15.000000,0.000000
0.020296,0.000000,15.000000,0.000000
0.020298,0.000000,15.000000,0.000000
0.020300,0.000000,15.000000,0.000000
0.020302,0.000000,15.000000,0.000000
0.020304,0.000000,15.000000,0.000000
